garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
0,0,mons,apartment,apartment,for-sale,7000,https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/9705705?searchId=633aeaf0f074c,not mentioned,0,0,0,172500,0,,2,,78,0,0,numeric,0,
0,10,sint-truiden,apartment,apartment,for-sale,3800,https://www.immoweb.be/en/classified/apartment/for-sale/sint-truiden/3800/9533286?searchId=633aeaf0f074c,as new,1,0,0,175000,0,,2,Installed,,,0,na,0,1.0
0,4,aische-en-refail,apartment,apartment,for-sale,5310,https://www.immoweb.be/en/classified/apartment/for-sale/aische-en-refail/5310/10067650?searchId=633aeaf0f074c,good,1,0,0,175000,0,,2,Installed,70,0,0,numeric,0,1.0
0,0,blankenberge,apartment,apartment,for-sale,8370,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10103346?searchId=633aeaf0f074c,as new,0,0,0,175000,0,,1,,57,,0,numeric,0,
0,0,kuurne,apartment,apartment,for-sale,8520,https://www.immoweb.be/en/classified/apartment/for-sale/kuurne/8520/9813083?searchId=633aeaf0f074c,as new,0,0,0,177000,0,,2,,107,,0,numeric,0,
0,16,forville,apartment,duplex,for-sale,5380,https://www.immoweb.be/en/classified/duplex/for-sale/forville/5380/10101697?searchId=633aeaf0f074c,good,1,0,0,179000,0,2,2,USA installed,75,0,0,numeric,0,1.0
0,4,de-haan,apartment,apartment,for-sale,8420,https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/10080271?searchId=633aeaf0f074c,not mentioned,1,0,0,179000,0,,2,,90,,0,numeric,0,
0,0,herzele,apartment,duplex,for-sale,9550,https://www.immoweb.be/en/classified/duplex/for-sale/herzele/9550/9953685?searchId=633aeaf0f074c,as new,0,0,0,179000,0,2,3,,,0,0,na,0,
0,0,ninove,apartment,apartment,for-sale,9400,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/9920688?searchId=633aeaf0f074c,good,0,0,0,184000,0,,1,Installed,75,,0,numeric,0,1.0
0,5,charleroi,apartment,apartment,bid,6000,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/10063817?searchId=633aeaf0f074c,good,1,0,0,185000,0,2,2,,90,0,0,numeric,1,
0,0,(c)louges,apartment,apartment,for-sale,7370,https://www.immoweb.be/en/classified/apartment/for-sale/(c)louges/7370/9896281?searchId=633aeaf0f074c,as new,0,0,0,185000,0,4,2,Hyper equipped,97,,0,numeric,0,1.0
0,7,oostende,apartment,flat-studio,for-sale,8400,https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/10093054?searchId=633aeaf0f074c,just renovated,1,0,0,185000,0,,,,,,0,na,0,
0,0,liege,apartment,apartment,for-sale,4000,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10054438?searchId=633aeaf0f074c,good,0,0,0,189000,0,2,3,,103,,0,numeric,0,
